                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9233,                 2.9495,                 3.0824,                0.80908,                0.75354,                0.82318,                 0.4652,                 1.6023,                 1.4504,                 1.6883,              0.0006627,              0.0006627,              0.0006627
                      2,                 1.5543,                  1.257,                 1.6678,                0.91542,                0.86247,                0.91912,                0.47953,                 1.4918,                 1.0018,                 1.3972,              0.0013054,              0.0013054,              0.0013054
                      3,                 1.3819,                0.97659,                  1.463,                0.93638,                0.90831,                0.96001,                0.58842,                 1.2032,                0.90781,                 1.1537,              0.0019242,              0.0019242,              0.0019242
                      4,                 1.2888,                0.83838,                 1.3744,                 0.9719,                0.95231,                0.98121,                0.52272,                 1.5097,                0.78479,                 1.2473,               0.001892,               0.001892,               0.001892
                      5,                 1.2118,                0.74542,                 1.3121,                0.97744,                0.94652,                0.98022,                0.63052,                 1.2063,                0.61511,                 1.1103,               0.001892,               0.001892,               0.001892
                      6,                 1.1719,                0.68344,                 1.2873,                0.98462,                0.96523,                0.98928,                0.72102,                0.94627,                0.52897,                 1.0309,               0.001856,               0.001856,               0.001856
                      7,                 1.1299,                 0.6422,                 1.2615,                 0.9797,                0.97985,                0.99279,                 0.7152,                0.94195,                0.50389,                 1.0363,                0.00182,                0.00182,                0.00182
                      8,                 1.0968,                0.60977,                 1.2396,                0.98976,                0.97969,                0.99401,                0.70869,                0.97804,                0.46229,                 1.0386,               0.001784,               0.001784,               0.001784
                      9,                  1.074,                0.58587,                 1.2254,                 0.9885,                0.98615,                0.99426,                0.77968,                0.80964,                0.41573,                0.95597,               0.001748,               0.001748,               0.001748
                     10,                 1.0507,                0.56674,                 1.2123,                0.98941,                0.97738,                0.99345,                0.76276,                0.87597,                 0.4366,                0.98027,               0.001712,               0.001712,               0.001712
                     11,                  1.026,                0.54833,                 1.1909,                0.98731,                0.98153,                0.99402,                0.80197,                0.74967,                0.39472,                0.94969,               0.001676,               0.001676,               0.001676
                     12,                 1.0188,                0.53816,                  1.192,                0.98427,                  0.984,                0.99178,                0.79883,                0.72103,                0.40166,                 0.9344,                0.00164,                0.00164,                0.00164
                     13,                 1.0142,                0.52445,                 1.1871,                0.99441,                0.98559,                0.99424,                0.77184,                0.80948,                 0.3955,                0.96592,               0.001604,               0.001604,               0.001604
                     14,                  0.995,                0.51437,                 1.1725,                0.99256,                0.98546,                0.99427,                0.81402,                0.73019,                0.37041,                 0.9266,               0.001568,               0.001568,               0.001568
                     15,                0.98663,                0.50605,                 1.1681,                0.98955,                0.99063,                0.99385,                0.79624,                0.78928,                0.37022,                0.95289,               0.001532,               0.001532,               0.001532
                     16,                 0.9736,                0.49625,                 1.1571,                0.99206,                0.98923,                0.99404,                 0.7734,                0.82024,                0.36573,                0.97409,               0.001496,               0.001496,               0.001496
