                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2822,                 3.3302,                 3.3465,                0.79744,                0.74554,                0.78145,                0.27264,                 2.0783,                 1.6513,                 2.1915,              0.0033201,              0.0033201,              0.0033201
                      2,                 1.6937,                 1.3433,                 1.8601,                0.84512,                0.86133,                0.89234,                0.43091,                 1.6124,                 1.2441,                 1.5252,              0.0065336,              0.0065336,              0.0065336
                      3,                 1.4082,                 1.0069,                 1.5522,                0.95617,                0.94062,                0.97372,                0.60665,                 1.2494,                 1.0732,                 1.2633,              0.0096272,              0.0096272,              0.0096272
                      4,                 1.2713,                0.83376,                 1.4107,                 0.9673,                 0.9557,                0.98117,                0.69998,                 0.9486,                0.63563,                 1.0779,                0.00946,                0.00946,                0.00946
                      5,                 1.1788,                0.71443,                 1.3402,                0.96871,                0.97138,                0.98612,                0.70838,                0.90466,                0.57173,                 1.0473,                0.00946,                0.00946,                0.00946
                      6,                 1.1122,                0.63493,                 1.2931,                0.98635,                0.97847,                0.99317,                0.74839,                0.89532,                 0.4739,                 1.0512,                0.00928,                0.00928,                0.00928
                      7,                 1.0711,                0.58799,                 1.2644,                0.98833,                0.98154,                0.99356,                0.72168,                0.93575,                0.47556,                 1.0737,                 0.0091,                 0.0091,                 0.0091
                      8,                   1.04,                0.55927,                 1.2435,                0.99101,                0.98392,                0.99439,                0.77659,                 0.8492,                0.42999,                 1.0412,                0.00892,                0.00892,                0.00892
                      9,                 1.0134,                0.53924,                 1.2297,                0.98777,                0.98769,                 0.9938,                0.79477,                0.80879,                0.40769,                 1.0097,                0.00874,                0.00874,                0.00874
                     10,                0.99351,                0.52104,                 1.2144,                0.99095,                0.98462,                0.99391,                0.77351,                0.87052,                0.41642,                 1.0357,                0.00856,                0.00856,                0.00856
                     11,                0.97559,                0.50392,                 1.2014,                0.98645,                0.98567,                0.99358,                0.79349,                0.78471,                0.38863,                0.99951,                0.00838,                0.00838,                0.00838
                     12,                0.96499,                 0.4969,                 1.1967,                0.99227,                0.98733,                0.99445,                 0.7826,                0.82542,                0.37279,                 1.0196,                 0.0082,                 0.0082,                 0.0082
                     13,                0.95493,                0.48551,                 1.1893,                0.99321,                0.98955,                0.99457,                0.81679,                0.73643,                0.35341,                0.96624,                0.00802,                0.00802,                0.00802
                     14,                0.94629,                0.47614,                 1.1822,                 0.9909,                0.99015,                0.99432,                0.80091,                0.76815,                0.35813,                0.99277,                0.00784,                0.00784,                0.00784
                     15,                 0.9366,                0.46743,                 1.1782,                0.99444,                0.99138,                0.99455,                0.81691,                0.77414,                0.34734,                0.99252,                0.00766,                0.00766,                0.00766
                     16,                0.92579,                0.46023,                 1.1722,                0.99384,                0.99355,                0.99458,                0.82686,                0.73216,                0.33648,                0.97409,                0.00748,                0.00748,                0.00748
                     17,                 0.9212,                0.45698,                 1.1706,                0.99499,                  0.992,                0.99427,                 0.8229,                0.74526,                0.33665,                 0.9827,                 0.0073,                 0.0073,                 0.0073
                     18,                0.91184,                 0.4462,                 1.1602,                0.99395,                0.99415,                0.99461,                0.81637,                0.75239,                0.32805,                0.98793,                0.00712,                0.00712,                0.00712
                     19,                0.90805,                0.44357,                 1.1594,                0.99289,                0.99508,                0.99454,                0.80318,                0.79962,                0.33238,                 1.0191,                0.00694,                0.00694,                0.00694
                     20,                0.90012,                 0.4367,                 1.1509,                 0.9939,                0.99354,                0.99393,                0.83239,                0.69687,                 0.3108,                0.95438,                0.00676,                0.00676,                0.00676
                     21,                0.89402,                0.43335,                 1.1508,                0.99294,                0.99581,                0.99469,                0.82989,                0.73325,                0.30846,                0.97127,                0.00658,                0.00658,                0.00658
                     22,                0.89058,                0.42949,                  1.149,                0.99446,                0.99416,                0.99433,                0.83306,                0.72921,                0.30821,                 0.9732,                 0.0064,                 0.0064,                 0.0064
                     23,                0.88428,                0.42434,                 1.1464,                0.99317,                0.99262,                0.99419,                0.83217,                0.70132,                0.30126,                0.95633,                0.00622,                0.00622,                0.00622
                     24,                0.87902,                0.41945,                  1.141,                0.99591,                0.99231,                0.99456,                0.83373,                0.73436,                0.30275,                0.97077,                0.00604,                0.00604,                0.00604
                     25,                0.87106,                0.41538,                 1.1357,                0.99749,                0.99415,                0.99466,                0.84313,                0.70228,                0.29549,                0.95969,                0.00586,                0.00586,                0.00586
                     26,                0.87048,                0.41479,                 1.1354,                0.99325,                0.99633,                0.99467,                0.84837,                0.67214,                0.28625,                 0.9415,                0.00568,                0.00568,                0.00568
                     27,                0.86649,                0.40984,                 1.1322,                0.99482,                0.99569,                 0.9946,                0.83892,                0.71289,                0.29214,                0.96004,                 0.0055,                 0.0055,                 0.0055
                     28,                0.86029,                0.40442,                 1.1303,                0.99334,                0.99662,                0.99443,                0.84236,                0.70074,                0.28424,                 0.9569,                0.00532,                0.00532,                0.00532
                     29,                0.85573,                0.40167,                 1.1269,                  0.996,                0.99494,                0.99454,                0.84153,                0.71254,                0.28212,                0.95993,                0.00514,                0.00514,                0.00514
                     30,                0.85324,                0.39651,                 1.1245,                0.99733,                0.99354,                0.99463,                0.84696,                0.70074,                0.28068,                0.95675,                0.00496,                0.00496,                0.00496
                     31,                0.84794,                 0.3953,                 1.1219,                0.99478,                0.99708,                0.99471,                0.84828,                0.70183,                 0.2781,                 0.9565,                0.00478,                0.00478,                0.00478
                     32,                0.84764,                0.39393,                 1.1246,                0.99722,                0.99476,                0.99457,                0.84798,                0.68641,                0.27235,                0.94952,                 0.0046,                 0.0046,                 0.0046
                     33,                0.84218,                0.38838,                 1.1157,                0.99753,                0.99505,                0.99469,                 0.8468,                0.69803,                0.27585,                0.95183,                0.00442,                0.00442,                0.00442
                     34,                0.83821,                0.38455,                 1.1135,                0.99478,                0.99673,                0.99472,                0.85495,                0.66701,                0.26774,                0.94026,                0.00424,                0.00424,                0.00424
                     35,                0.83165,                0.38181,                 1.1109,                0.99369,                0.99692,                0.99468,                0.84911,                0.69249,                0.26993,                0.95113,                0.00406,                0.00406,                0.00406
                     36,                0.82873,                0.37926,                 1.1088,                0.99788,                0.99446,                0.99473,                0.85121,                0.67909,                0.26622,                0.94727,                0.00388,                0.00388,                0.00388
                     37,                0.82664,                0.37718,                 1.1085,                0.99753,                0.99593,                0.99474,                0.85004,                0.68856,                0.26661,                0.95123,                 0.0037,                 0.0037,                 0.0037
