                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1866,                  3.216,                    3.4,                0.66346,                0.66922,                0.64084,                0.25154,                 1.8758,                 1.6404,                 1.9701,              0.0033259,              0.0033259,              0.0033259
                      2,                 1.6251,                 1.2617,                 1.8637,                0.92348,                 0.8922,                 0.9392,                0.51714,                 1.3519,                 1.0417,                 1.3869,              0.0065768,              0.0065768,              0.0065768
                      3,                 1.4081,                 1.0012,                  1.567,                0.93104,                0.88284,                0.94799,                0.58603,                 1.2631,                 1.3381,                 1.2789,              0.0097452,              0.0097452,              0.0097452
                      4,                 1.3003,                0.86596,                 1.4688,                0.97214,                0.93844,                0.97497,                  0.655,                 1.0541,                 0.6381,                 1.1586,              0.0096288,              0.0096288,              0.0096288
                      5,                 1.2003,                0.73344,                 1.3887,                0.98019,                0.96596,                0.98682,                0.72278,                0.94608,                0.52351,                 1.1043,              0.0096288,              0.0096288,              0.0096288
                      6,                  1.147,                0.67058,                 1.3539,                0.98459,                0.97905,                0.99215,                0.72983,                0.90476,                0.48487,                  1.085,               0.009505,               0.009505,               0.009505
                      7,                 1.1011,                0.62392,                 1.3215,                0.98041,                0.97674,                0.99208,                0.74166,                0.89111,                0.45265,                 1.0797,              0.0093813,              0.0093813,              0.0093813
                      8,                 1.0787,                0.59332,                 1.3043,                0.98849,                0.97872,                0.99289,                0.72143,                0.96246,                0.45794,                 1.1184,              0.0092575,              0.0092575,              0.0092575
                      9,                 1.0527,                0.56747,                  1.287,                0.98695,                0.98674,                0.99399,                0.73883,                0.91447,                0.40654,                 1.1072,              0.0091337,              0.0091337,              0.0091337
                     10,                 1.0358,                0.55352,                 1.2763,                0.99023,                0.98667,                0.99368,                0.76256,                0.86515,                 0.3914,                  1.073,                0.00901,                0.00901,                0.00901
                     11,                 1.0176,                0.53774,                 1.2634,                0.99116,                0.98612,                0.99371,                0.74781,                0.92874,                0.40276,                 1.1085,              0.0088863,              0.0088863,              0.0088863
                     12,                 1.0055,                 0.5248,                 1.2597,                0.99228,                0.98445,                0.99379,                 0.7895,                0.83085,                0.37002,                 1.0479,              0.0087625,              0.0087625,              0.0087625
                     13,                0.99755,                0.51901,                  1.253,                0.99023,                 0.9878,                0.99425,                0.78768,                0.82655,                 0.3612,                 1.0533,              0.0086388,              0.0086388,              0.0086388
