                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8446,                 4.7894,                 3.9063,                0.40284,                0.04108,                0.02935,                0.00925,                 3.3017,                 3.8839,                 3.6689,              0.0033135,              0.0033135,              0.0033135
                      2,                  2.445,                 2.8914,                 2.5971,                0.44126,                0.39142,                  0.317,                0.16878,                 1.8812,                 2.0497,                 2.3132,               0.006581,               0.006581,               0.006581
                      3,                 1.7498,                 2.0305,                 1.9163,                0.46821,                0.66268,                0.52143,                0.32599,                 1.4007,                 1.5053,                 1.7185,              0.0097826,              0.0097826,              0.0097826
                      4,                 1.4107,                 1.6213,                  1.569,                0.54746,                0.77478,                0.60048,                0.42111,                 1.1229,                 1.1957,                 1.4101,               0.009703,               0.009703,               0.009703
                      5,                 1.2262,                 1.4196,                 1.4074,                0.57346,                0.82576,                0.62942,                0.45643,                 1.0223,                 1.0821,                 1.3231,               0.009703,               0.009703,               0.009703
                      6,                 1.1274,                 1.3171,                 1.3288,                0.60302,                0.83191,                0.65707,                0.49536,                0.94065,                  1.008,                  1.246,               0.009604,               0.009604,               0.009604
                      7,                 1.0672,                 1.2501,                 1.2818,                0.61825,                   0.85,                 0.6792,                0.52493,                0.87308,                0.94846,                  1.191,               0.009505,               0.009505,               0.009505
                      8,                 1.0223,                 1.1963,                 1.2498,                0.62984,                0.85786,                0.69029,                0.53855,                0.84764,                0.91951,                 1.1665,               0.009406,               0.009406,               0.009406
                      9,                0.98946,                 1.1537,                 1.2241,                0.63439,                0.86183,                0.70386,                0.55834,                0.80695,                 0.8923,                  1.138,               0.009307,               0.009307,               0.009307
                     10,                 0.9659,                 1.1225,                 1.2068,                0.63464,                0.86719,                0.70096,                0.56116,                0.78408,                0.85125,                  1.121,               0.009208,               0.009208,               0.009208
                     11,                0.94052,                 1.0995,                 1.1916,                 0.6312,                0.87054,                0.70942,                0.57241,                0.76583,                0.84728,                 1.1054,               0.009109,               0.009109,               0.009109
                     12,                0.92351,                 1.0764,                 1.1786,                0.63264,                0.88278,                0.72077,                0.58473,                 0.7552,                0.82625,                 1.0941,                0.00901,                0.00901,                0.00901
                     13,                0.90836,                 1.0578,                 1.1683,                0.64303,                0.88577,                0.73039,                0.59937,                0.73151,                0.81455,                 1.0808,               0.008911,               0.008911,               0.008911
                     14,                0.89143,                 1.0378,                 1.1591,                0.64494,                0.87263,                0.72828,                 0.5973,                0.72466,                0.80684,                 1.0765,               0.008812,               0.008812,               0.008812
                     15,                0.88078,                 1.0234,                 1.1525,                0.66069,                0.86971,                0.74809,                0.61533,                0.73329,                   0.78,                 1.0804,               0.008713,               0.008713,               0.008713
                     16,                0.86995,                 1.0036,                 1.1436,                0.68184,                0.86813,                0.76966,                0.64082,                0.70858,                0.75802,                 1.0652,               0.008614,               0.008614,               0.008614
                     17,                0.85982,                0.99138,                 1.1391,                0.68216,                0.87403,                0.80034,                0.66654,                0.70086,                0.73803,                 1.0566,               0.008515,               0.008515,               0.008515
                     18,                0.85224,                0.97552,                 1.1313,                0.68806,                0.87702,                0.80497,                0.67305,                0.69245,                0.72576,                 1.0502,               0.008416,               0.008416,               0.008416
                     19,                0.84411,                0.96201,                 1.1277,                0.72141,                0.87064,                0.82706,                0.69238,                0.68789,                0.70506,                 1.0459,               0.008317,               0.008317,               0.008317
                     20,                0.83736,                 0.9526,                 1.1238,                0.71313,                 0.8677,                0.82451,                0.69317,                0.67991,                0.69511,                 1.0448,               0.008218,               0.008218,               0.008218
                     21,                0.82907,                0.94192,                 1.1199,                0.71948,                0.87381,                 0.8296,                0.69898,                0.66788,                0.69945,                 1.0342,               0.008119,               0.008119,               0.008119
                     22,                0.82234,                0.93059,                 1.1146,                0.72694,                0.86996,                0.83563,                0.70563,                0.66826,                0.68552,                 1.0367,                0.00802,                0.00802,                0.00802
