                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.4814,                 0.3989,                0.88138,                0.92073,                0.94627,                0.96738,                0.86553,                0.49118,                0.37602,                0.87926,             0.00012757,             0.00012757,             0.00012757
                      2,                0.50834,                  0.422,                0.89247,                0.91723,                0.93898,                0.96389,                0.85328,                0.52056,                0.40831,                0.89386,             0.00025084,             0.00025084,             0.00025084
                      3,                 0.5345,                  0.445,                0.90365,                0.92196,                0.93496,                0.96313,                0.85044,                0.53176,                0.39364,                0.89452,             0.00036902,             0.00036902,             0.00036902
                      4,                0.54597,                0.45414,                0.91001,                0.91539,                0.93706,                0.96222,                0.84427,                0.54498,                0.41058,                0.90385,             0.00036213,             0.00036213,             0.00036213
                      5,                 0.5459,                0.45298,                0.91014,                0.90648,                0.93902,                0.96236,                0.84776,                 0.5324,                0.41742,                0.89787,             0.00036213,             0.00036213,             0.00036213
                      6,                0.54362,                0.44961,                0.90966,                0.91389,                0.94085,                0.96472,                0.84904,                0.53171,                0.39696,                0.89653,             0.00035451,             0.00035451,             0.00035451
                      7,                0.54107,                0.44614,                0.90733,                0.91795,                 0.9409,                0.96477,                0.85267,                0.52746,                0.39594,                0.89668,             0.00034689,             0.00034689,             0.00034689
                      8,                0.53889,                0.44324,                0.90576,                0.91113,                0.94336,                0.96499,                0.85198,                0.52829,                0.40585,                0.89563,             0.00033926,             0.00033926,             0.00033926
                      9,                0.53599,                0.44015,                 0.9033,                0.92446,                0.94087,                0.96509,                0.85447,                0.52313,                0.39067,                0.89112,             0.00033164,             0.00033164,             0.00033164
                     10,                0.53267,                0.43751,                0.90176,                0.92604,                0.94023,                0.96597,                0.85401,                0.52073,                0.38844,                 0.8855,             0.00032402,             0.00032402,             0.00032402
                     11,                0.53064,                0.43599,                0.90079,                0.91844,                0.93557,                0.96433,                0.85512,                0.51638,                0.40844,                 0.8915,             0.00031639,             0.00031639,             0.00031639
