                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.39912,                0.33084,                 0.8554,                0.92401,                0.94506,                0.96973,                0.88815,                0.43317,                0.35176,                0.86659,              0.0033215,              0.0033215,              0.0033215
                      2,                0.43419,                0.36206,                0.86774,                0.91694,                0.93745,                0.96407,                0.87073,                 0.4749,                0.39173,                0.89382,              0.0065231,              0.0065231,              0.0065231
                      3,                0.49756,                0.41864,                0.89701,                0.91017,                0.93069,                0.95834,                0.84208,                0.53919,                0.42418,                0.91953,              0.0095926,              0.0095926,              0.0095926
                      4,                0.55625,                0.47006,                0.92789,                0.91069,                0.93076,                0.96033,                0.84368,                0.53518,                0.43853,                0.92641,               0.009406,               0.009406,               0.009406
                      5,                0.55912,                0.47342,                0.92649,                0.90906,                0.93673,                0.96168,                0.84619,                0.53052,                0.42618,                0.90916,               0.009406,               0.009406,               0.009406
                      6,                0.55219,                0.46998,                0.92513,                0.92004,                0.94163,                0.96505,                0.85309,                0.51997,                0.39508,                0.90043,               0.009208,               0.009208,               0.009208
                      7,                  0.548,                0.46614,                0.92165,                0.91998,                0.93604,                0.96361,                0.85107,                0.52828,                0.39801,                0.91416,                0.00901,                0.00901,                0.00901
                      8,                0.54164,                0.46103,                0.91796,                0.91806,                0.94315,                 0.9667,                0.86034,                0.50267,                0.39708,                0.90175,               0.008812,               0.008812,               0.008812
                      9,                0.53619,                0.45663,                0.91788,                0.92271,                0.93801,                0.96581,                0.86112,                0.49736,                0.39412,                0.89566,               0.008614,               0.008614,               0.008614
                     10,                0.53171,                 0.4538,                0.91359,                0.91645,                0.94153,                0.96529,                0.86332,                0.49458,                0.37965,                0.89133,               0.008416,               0.008416,               0.008416
                     11,                0.52664,                0.44929,                0.91009,                0.91557,                0.93752,                0.96423,                0.86127,                0.49311,                0.39196,                0.89458,               0.008218,               0.008218,               0.008218
