                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.4579,                 4.3864,                 3.8418,                0.27822,                0.07969,                0.07479,                0.02798,                 2.7806,                 3.1568,                 3.2453,              0.0033215,              0.0033215,              0.0033215
                      2,                 1.9481,                 1.9221,                 2.2968,                0.72911,                0.71355,                0.76207,                0.46175,                 1.4523,                 1.2122,                 1.7983,               0.006589,               0.006589,               0.006589
                      3,                 1.3414,                 1.2013,                 1.6061,                 0.8391,                0.81775,                0.87674,                0.59781,                 1.1423,                0.92969,                 1.4158,              0.0097904,              0.0097904,              0.0097904
                      4,                 1.0668,                0.94874,                 1.3245,                0.88171,                   0.87,                0.91869,                 0.6832,                0.93433,                0.77919,                 1.2116,               0.009703,               0.009703,               0.009703
                      5,                0.91701,                0.80619,                 1.1928,                0.88973,                0.89939,                0.93994,                 0.7377,                0.79951,                0.63649,                 1.1151,               0.009703,               0.009703,               0.009703
                      6,                0.83366,                0.72807,                 1.1302,                0.91198,                0.90845,                0.94847,                0.76742,                0.73723,                 0.5681,                 1.0663,               0.009604,               0.009604,               0.009604
                      7,                0.78263,                0.67651,                 1.0913,                0.90762,                 0.9124,                0.95217,                0.78498,                0.69372,                0.54352,                 1.0413,               0.009505,               0.009505,               0.009505
                      8,                0.74559,                0.63999,                 1.0632,                0.90743,                 0.9282,                0.95694,                0.79844,                0.66126,                 0.5203,                 1.0176,               0.009406,               0.009406,               0.009406
                      9,                0.71667,                0.61506,                 1.0456,                 0.9194,                0.92741,                0.95994,                0.81313,                0.63347,                0.48848,                 1.0011,               0.009307,               0.009307,               0.009307
                     10,                0.69522,                0.59509,                 1.0307,                 0.9205,                0.92695,                0.95979,                0.81808,                0.61808,                0.48261,                0.99321,               0.009208,               0.009208,               0.009208
                     11,                0.67593,                0.57869,                 1.0174,                0.92283,                0.93174,                0.96084,                0.82718,                0.59831,                0.46359,                0.97901,               0.009109,               0.009109,               0.009109
                     12,                0.65999,                0.56474,                 1.0066,                0.92333,                0.93611,                0.96266,                0.82993,                0.58459,                0.44957,                0.96893,                0.00901,                0.00901,                0.00901
                     13,                0.64797,                 0.5538,                0.99989,                 0.9193,                0.93722,                0.96246,                 0.8343,                0.57256,                0.44748,                0.96125,               0.008911,               0.008911,               0.008911
                     14,                0.63644,                0.54421,                0.99215,                0.92287,                 0.9369,                0.96469,                0.84031,                0.55965,                0.42912,                 0.9515,               0.008812,               0.008812,               0.008812
                     15,                0.62692,                0.53587,                0.98633,                0.92233,                 0.9408,                0.96609,                0.84508,                0.54898,                0.42125,                0.94827,               0.008713,               0.008713,               0.008713
                     16,                 0.6181,                0.52843,                0.98138,                0.92839,                0.93873,                0.96659,                0.85068,                0.53766,                0.41119,                0.94127,               0.008614,               0.008614,               0.008614
                     17,                0.60915,                0.52065,                0.97525,                0.91764,                0.94335,                0.96512,                0.84978,                0.53381,                0.41394,                0.93753,               0.008515,               0.008515,               0.008515
                     18,                0.60252,                0.51489,                0.97188,                 0.9218,                0.94158,                0.96554,                 0.8536,                0.52291,                0.40761,                0.93246,               0.008416,               0.008416,               0.008416
                     19,                0.59768,                 0.5099,                0.96726,                0.92346,                0.94436,                0.96697,                0.85689,                0.51615,                0.39559,                0.92897,               0.008317,               0.008317,               0.008317
                     20,                0.59007,                0.50597,                0.96281,                 0.9272,                0.94312,                0.96822,                0.86044,                0.51041,                0.39095,                0.92558,               0.008218,               0.008218,               0.008218
                     21,                0.58524,                0.50093,                0.95978,                0.92158,                0.94685,                0.96761,                0.86267,                0.50346,                0.38636,                0.92099,               0.008119,               0.008119,               0.008119
                     22,                0.57982,                 0.4964,                0.95619,                0.92617,                0.94549,                0.96873,                0.86327,                0.50069,                0.38491,                0.91944,                0.00802,                0.00802,                0.00802
                     23,                0.57505,                0.49253,                 0.9539,                0.92701,                0.94511,                0.96809,                0.86552,                0.49247,                0.37721,                0.91501,               0.007921,               0.007921,               0.007921
                     24,                0.57238,                0.48802,                0.95112,                0.92446,                0.94638,                 0.9682,                0.86608,                0.48869,                0.37484,                0.91336,               0.007822,               0.007822,               0.007822
                     25,                0.56742,                0.48587,                0.94926,                0.92498,                0.94848,                0.96896,                0.86869,                0.48304,                0.37163,                0.90879,               0.007723,               0.007723,               0.007723
                     26,                0.56331,                0.48197,                0.94632,                0.92851,                0.94599,                0.96883,                0.87072,                0.47957,                0.36679,                0.90778,               0.007624,               0.007624,               0.007624
                     27,                0.55966,                0.47805,                0.94367,                0.92697,                0.94689,                0.96866,                0.87218,                 0.4744,                0.36543,                0.90464,               0.007525,               0.007525,               0.007525
                     28,                0.55552,                0.47564,                0.94105,                  0.925,                0.94884,                0.96861,                0.87309,                0.47001,                0.36071,                0.90108,               0.007426,               0.007426,               0.007426
                     29,                0.55144,                0.47276,                0.93879,                0.92521,                0.94987,                 0.9696,                0.87483,                0.46676,                0.35537,                0.90083,               0.007327,               0.007327,               0.007327
                     30,                0.54911,                0.46962,                0.93796,                0.92349,                 0.9489,                0.96967,                0.87631,                0.46224,                0.35581,                0.89774,               0.007228,               0.007228,               0.007228
                     31,                0.54515,                0.46646,                0.93351,                 0.9264,                0.94851,                0.96935,                0.87707,                0.45958,                0.35343,                0.89587,               0.007129,               0.007129,               0.007129
                     32,                0.54287,                0.46555,                0.93337,                0.92321,                0.94908,                0.96897,                0.87775,                0.45582,                0.35468,                0.89427,                0.00703,                0.00703,                0.00703
                     33,                0.53987,                0.46229,                0.93181,                0.92332,                 0.9493,                0.96927,                0.87878,                0.45399,                0.35188,                 0.8932,               0.006931,               0.006931,               0.006931
                     34,                0.53691,                0.45939,                0.92942,                0.92367,                 0.9501,                0.96975,                0.87982,                0.45125,                0.34964,                 0.8914,               0.006832,               0.006832,               0.006832
                     35,                0.53323,                0.45699,                0.92767,                 0.9245,                  0.949,                0.96966,                0.88125,                0.44877,                0.34731,                0.89001,               0.006733,               0.006733,               0.006733
                     36,                0.53205,                0.45548,                  0.927,                0.92332,                0.94886,                0.96964,                0.88147,                0.44598,                0.34725,                0.88756,               0.006634,               0.006634,               0.006634
                     37,                0.52798,                0.45226,                0.92485,                0.92407,                0.95023,                0.97004,                0.88294,                0.44332,                0.34562,                0.88664,               0.006535,               0.006535,               0.006535
                     38,                0.52662,                0.45131,                0.92328,                0.92256,                0.95033,                0.96947,                 0.8829,                0.44118,                 0.3445,                0.88542,               0.006436,               0.006436,               0.006436
                     39,                0.52441,                0.44877,                 0.9216,                0.92316,                0.95095,                0.97013,                0.88366,                0.43961,                0.34363,                0.88409,               0.006337,               0.006337,               0.006337
                     40,                0.52149,                 0.4459,                0.91993,                0.92205,                0.95252,                0.96982,                0.88395,                0.43788,                 0.3425,                0.88324,               0.006238,               0.006238,               0.006238
                     41,                0.51926,                0.44561,                0.91765,                0.92188,                0.95192,                0.96973,                0.88438,                0.43539,                0.34205,                0.88132,               0.006139,               0.006139,               0.006139
                     42,                0.51706,                  0.442,                0.91712,                0.92116,                0.95208,                0.96927,                0.88478,                0.43433,                0.34238,                0.88102,                0.00604,                0.00604,                0.00604
                     43,                0.51485,                 0.4416,                0.91527,                0.92005,                0.95263,                0.96922,                0.88504,                0.43286,                0.34112,                0.87984,               0.005941,               0.005941,               0.005941
                     44,                0.51195,                0.43757,                0.91383,                0.92046,                0.95135,                0.96962,                0.88567,                0.43096,                0.33901,                0.87896,               0.005842,               0.005842,               0.005842
                     45,                0.51055,                0.43678,                0.91398,                0.91894,                0.95258,                0.96971,                0.88593,                0.42993,                0.33763,                0.87884,               0.005743,               0.005743,               0.005743
                     46,                0.50695,                0.43456,                0.91023,                 0.9197,                0.95209,                0.96956,                0.88659,                0.42893,                0.33703,                 0.8775,               0.005644,               0.005644,               0.005644
                     47,                0.50588,                0.43343,                0.90886,                0.91898,                0.95323,                0.96978,                0.88683,                0.42774,                0.33615,                0.87664,               0.005545,               0.005545,               0.005545
                     48,                 0.5038,                0.42976,                0.90732,                0.91883,                0.95263,                0.96945,                0.88708,                0.42656,                0.33601,                0.87567,               0.005446,               0.005446,               0.005446
                     49,                 0.5022,                0.42819,                0.90789,                 0.9184,                0.95277,                0.96933,                0.88755,                0.42559,                0.33568,                0.87529,               0.005347,               0.005347,               0.005347
                     50,                0.50026,                 0.4283,                 0.9052,                0.91782,                0.95229,                0.96918,                0.88766,                0.42457,                0.33607,                0.87424,               0.005248,               0.005248,               0.005248
                     51,                0.49795,                0.42561,                0.90497,                0.91682,                 0.9528,                0.96941,                0.88809,                0.42375,                 0.3354,                0.87382,               0.005149,               0.005149,               0.005149
                     52,                0.49446,                0.42308,                0.90318,                0.91756,                0.95272,                0.96944,                0.88838,                0.42306,                0.33537,                0.87334,                0.00505,                0.00505,                0.00505
                     53,                0.49344,                0.42033,                0.90222,                0.91744,                 0.9526,                0.96947,                0.88857,                0.42232,                0.33479,                0.87294,               0.004951,               0.004951,               0.004951
                     54,                0.49167,                0.41989,                0.90145,                 0.9167,                0.95304,                0.96929,                0.88865,                0.42152,                0.33412,                0.87234,               0.004852,               0.004852,               0.004852
                     55,                0.48897,                0.41771,                0.89843,                 0.9172,                0.95227,                0.96938,                0.88897,                0.42077,                 0.3339,                0.87176,               0.004753,               0.004753,               0.004753
                     56,                 0.4877,                0.41537,                0.89831,                0.91715,                0.95219,                 0.9693,                0.88911,                0.42014,                0.33353,                0.87112,               0.004654,               0.004654,               0.004654
                     57,                0.48466,                0.41323,                0.89691,                0.91693,                0.95217,                0.96934,                0.88926,                0.41941,                0.33336,                 0.8706,               0.004555,               0.004555,               0.004555
                     58,                0.48253,                0.41137,                0.89571,                  0.917,                0.95218,                0.96944,                0.88959,                0.41878,                0.33294,                0.87017,               0.004456,               0.004456,               0.004456
                     59,                0.48201,                0.40994,                0.89603,                0.91645,                0.95235,                0.96947,                0.88967,                0.41824,                 0.3327,                0.86992,               0.004357,               0.004357,               0.004357
                     60,                0.47976,                0.40859,                0.89392,                0.91672,                0.95189,                0.96956,                0.88996,                0.41787,                0.33273,                0.86948,               0.004258,               0.004258,               0.004258
                     61,                0.47816,                0.40689,                0.89231,                0.91644,                0.95226,                0.96954,                0.89004,                0.41735,                0.33247,                0.86902,               0.004159,               0.004159,               0.004159
                     62,                0.47631,                0.40546,                0.89155,                0.91743,                0.95139,                0.96959,                0.89022,                0.41682,                0.33222,                0.86865,                0.00406,                0.00406,                0.00406
                     63,                0.47399,                0.40226,                0.88919,                0.91729,                0.95124,                0.96947,                0.89039,                0.41633,                0.33217,                0.86816,               0.003961,               0.003961,               0.003961
                     64,                0.47153,                0.40135,                0.88766,                0.91719,                0.95079,                0.96956,                0.89057,                0.41592,                0.33211,                0.86766,               0.003862,               0.003862,               0.003862
                     65,                0.46975,                0.39811,                0.88543,                0.91722,                0.95087,                0.96958,                0.89071,                0.41553,                0.33181,                0.86721,               0.003763,               0.003763,               0.003763
                     66,                0.46759,                0.39688,                0.88504,                0.91703,                0.95093,                0.96959,                0.89104,                0.41509,                0.33171,                0.86673,               0.003664,               0.003664,               0.003664
                     67,                0.46585,                0.39388,                0.88477,                0.91723,                 0.9505,                0.96966,                0.89111,                0.41466,                0.33133,                0.86636,               0.003565,               0.003565,               0.003565
                     68,                0.46311,                0.39197,                0.88178,                0.91725,                0.95043,                0.96967,                0.89124,                0.41429,                0.33127,                0.86597,               0.003466,               0.003466,               0.003466
                     69,                0.46122,                0.38912,                0.88171,                0.91638,                0.95131,                0.96966,                0.89142,                0.41396,                0.33122,                0.86567,               0.003367,               0.003367,               0.003367
                     70,                 0.4581,                0.38678,                0.88051,                0.91778,                0.94997,                0.96965,                0.89155,                0.41364,                0.33116,                 0.8654,               0.003268,               0.003268,               0.003268
