                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6147,                 4.4036,                 3.7306,                0.20717,                0.10783,                0.09736,                0.04142,                 2.5079,                  3.087,                 3.1288,              0.0033214,              0.0033214,              0.0033214
                      2,                 2.0228,                 2.3659,                 2.2501,                0.44853,                0.58828,                0.44002,                0.26973,                 1.4777,                 1.6231,                   1.86,              0.0065889,              0.0065889,              0.0065889
                      3,                  1.458,                 1.6509,                 1.6279,                 0.5522,                0.77976,                0.60787,                0.42317,                 1.1292,                 1.2261,                 1.4206,              0.0097903,              0.0097903,              0.0097903
                      4,                  1.162,                 1.3451,                 1.3568,                0.59541,                0.82742,                0.66453,                0.49905,                0.94181,                 1.0113,                 1.2455,               0.009703,               0.009703,               0.009703
                      5,                  1.011,                 1.1902,                  1.241,                0.61278,                0.86049,                0.70412,                0.55697,                0.80331,                0.90612,                 1.1429,               0.009703,               0.009703,               0.009703
                      6,                0.93058,                 1.1051,                 1.1844,                0.63354,                0.87831,                0.71531,                0.57945,                0.75133,                0.85053,                 1.0964,               0.009604,               0.009604,               0.009604
                      7,                 0.8772,                 1.0491,                 1.1505,                0.64676,                0.89221,                0.74376,                0.61249,                0.71718,                 0.8086,                 1.0658,               0.009505,               0.009505,               0.009505
                      8,                0.83882,                 1.0041,                  1.126,                0.67336,                0.88305,                0.76644,                0.64403,                0.68139,                 0.7565,                 1.0444,               0.009406,               0.009406,               0.009406
                      9,                0.81155,                0.96153,                 1.1088,                0.70145,                0.87035,                0.81445,                0.68839,                0.65308,                0.70562,                 1.0245,               0.009307,               0.009307,               0.009307
                     10,                0.79117,                 0.9327,                 1.0974,                0.71405,                0.88067,                0.82473,                0.70095,                0.63967,                0.69191,                  1.015,               0.009208,               0.009208,               0.009208
                     11,                0.77237,                 0.9078,                 1.0868,                0.71769,                0.88804,                0.83246,                 0.7128,                0.62077,                0.66794,                 1.0042,               0.009109,               0.009109,               0.009109
                     12,                0.75761,                0.88665,                 1.0775,                 0.7555,                0.88452,                0.87449,                0.75033,                0.61193,                0.62431,                0.99911,                0.00901,                0.00901,                0.00901
                     13,                0.74439,                0.87047,                 1.0705,                0.74728,                0.88733,                0.86779,                0.74699,                0.60085,                0.63042,                0.99148,               0.008911,               0.008911,               0.008911
                     14,                0.73275,                0.85601,                 1.0643,                  0.759,                0.89249,                0.87492,                0.75785,                0.58606,                0.60562,                0.98167,               0.008812,               0.008812,               0.008812
                     15,                0.72224,                0.84179,                 1.0584,                0.76533,                0.87871,                0.88191,                0.76488,                0.57587,                0.60108,                0.97614,               0.008713,               0.008713,               0.008713
                     16,                0.71355,                 0.8313,                 1.0525,                0.77213,                0.89369,                0.88871,                0.77343,                0.56589,                 0.5753,                0.96965,               0.008614,               0.008614,               0.008614
                     17,                0.70456,                0.81798,                 1.0475,                0.77144,                0.89091,                0.88551,                0.77416,                0.55676,                0.57154,                0.96467,               0.008515,               0.008515,               0.008515
                     18,                0.69762,                0.80779,                  1.043,                0.78138,                 0.8976,                0.88716,                0.77819,                0.55027,                0.56322,                0.96284,               0.008416,               0.008416,               0.008416
                     19,                0.69053,                0.80044,                   1.04,                 0.7919,                0.88361,                0.89527,                0.78674,                0.54616,                0.55018,                0.95859,               0.008317,               0.008317,               0.008317
                     20,                0.68433,                0.79435,                 1.0367,                0.77882,                0.89902,                0.89071,                0.78651,                0.53732,                0.54935,                0.95296,               0.008218,               0.008218,               0.008218
                     21,                0.67972,                0.78489,                 1.0341,                0.79182,                0.90095,                0.89719,                0.79528,                0.52708,                0.53579,                0.94777,               0.008119,               0.008119,               0.008119
                     22,                0.67319,                0.77973,                 1.0297,                0.79359,                0.89968,                 0.9007,                0.79875,                0.52325,                0.53152,                0.94465,                0.00802,                0.00802,                0.00802
                     23,                0.66854,                0.76624,                 1.0279,                0.78979,                0.90059,                0.89973,                0.79809,                0.52075,                 0.5296,                0.94322,               0.007921,               0.007921,               0.007921
                     24,                0.66722,                0.73752,                 1.0283,                0.84389,                0.88713,                 0.9241,                0.81839,                0.51657,                0.50103,                 0.9424,               0.007822,               0.007822,               0.007822
                     25,                0.66589,                0.72581,                  1.028,                0.80274,                0.90433,                0.90806,                0.80767,                0.51081,                0.51481,                0.93703,               0.007723,               0.007723,               0.007723
                     26,                0.66157,                0.71792,                 1.0254,                0.82574,                0.89024,                0.91861,                 0.8172,                0.50975,                0.50311,                0.93751,               0.007624,               0.007624,               0.007624
                     27,                0.65815,                0.71099,                 1.0239,                0.80064,                0.90336,                0.90453,                0.80697,                0.50479,                0.51178,                0.93496,               0.007525,               0.007525,               0.007525
                     28,                0.65598,                 0.7047,                 1.0217,                0.81955,                0.89889,                0.91821,                0.82019,                0.50001,                 0.4915,                0.93243,               0.007426,               0.007426,               0.007426
                     29,                0.65022,                0.69805,                 1.0196,                0.82718,                0.89376,                0.92081,                0.82366,                0.49502,                0.48676,                0.92903,               0.007327,               0.007327,               0.007327
                     30,                0.64628,                0.69175,                 1.0175,                0.79472,                0.91291,                0.90637,                0.81295,                0.49277,                0.49775,                0.92746,               0.007228,               0.007228,               0.007228
                     31,                0.64668,                0.69163,                 1.0164,                0.80235,                0.90656,                0.90968,                0.81652,                0.48834,                0.49518,                 0.9256,               0.007129,               0.007129,               0.007129
                     32,                0.64025,                0.68294,                 1.0135,                0.81031,                0.91071,                0.91507,                0.82192,                 0.4855,                 0.4852,                0.92358,                0.00703,                0.00703,                0.00703
                     33,                0.63825,                0.68118,                 1.0129,                0.80232,                0.91551,                0.91227,                0.82075,                0.48196,                0.48588,                0.92131,               0.006931,               0.006931,               0.006931
                     34,                 0.6345,                0.67605,                 1.0104,                0.82172,                0.90473,                0.92186,                 0.8291,                0.48007,                0.47631,                0.91955,               0.006832,               0.006832,               0.006832
                     35,                0.63277,                0.67436,                 1.0096,                 0.8192,                0.90612,                 0.9201,                0.82849,                0.47675,                0.47608,                0.91733,               0.006733,               0.006733,               0.006733
                     36,                0.62868,                0.66828,                 1.0075,                0.82327,                0.90731,                0.92252,                 0.8312,                0.47465,                0.47135,                0.91655,               0.006634,               0.006634,               0.006634
                     37,                0.62901,                 0.6665,                 1.0083,                0.83024,                0.90038,                0.92504,                0.83367,                0.47378,                0.46891,                0.91672,               0.006535,               0.006535,               0.006535
                     38,                0.62402,                0.66189,                 1.0049,                0.81884,                0.90755,                0.91992,                0.82945,                0.47041,                 0.4711,                0.91449,               0.006436,               0.006436,               0.006436
                     39,                0.62224,                0.65809,                  1.004,                0.83242,                 0.9057,                0.92797,                0.83694,                0.46806,                0.46245,                0.91288,               0.006337,               0.006337,               0.006337
                     40,                0.61942,                0.65381,                 1.0029,                 0.8334,                0.90709,                0.92947,                0.83924,                0.46578,                0.45736,                0.91176,               0.006238,               0.006238,               0.006238
                     41,                0.61779,                0.65286,                 1.0015,                0.81367,                0.91995,                0.92039,                0.83256,                0.46385,                0.46381,                 0.9107,               0.006139,               0.006139,               0.006139
                     42,                0.61526,                0.64898,                      1,                0.81201,                0.91778,                0.91885,                0.83174,                0.46262,                 0.4654,                 0.9102,                0.00604,                0.00604,                0.00604
                     43,                0.61307,                0.64639,                0.99947,                0.81711,                0.91339,                0.92108,                0.83363,                0.46075,                0.46256,                0.90904,               0.005941,               0.005941,               0.005941
                     44,                0.60948,                0.64429,                0.99773,                0.82956,                0.90713,                 0.9264,                0.83882,                0.45923,                0.45583,                0.90823,               0.005842,               0.005842,               0.005842
                     45,                0.60862,                0.64143,                0.99783,                0.82549,                 0.9081,                0.92445,                0.83792,                0.45749,                0.45774,                 0.9073,               0.005743,               0.005743,               0.005743
                     46,                0.60775,                0.63859,                 0.9968,                0.82421,                0.90603,                0.92515,                0.83892,                0.45571,                0.45607,                0.90645,               0.005644,               0.005644,               0.005644
