                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5599,                 4.7069,                 3.9475,                 0.2145,                0.13257,                0.02059,                0.00738,                  2.947,                    inf,                 3.3482,              0.0033136,              0.0033136,              0.0033136
                      2,                 2.3576,                 2.5429,                 2.6463,                0.54514,                0.49905,                 0.5271,                0.28256,                 1.8376,                 1.8477,                 2.1793,              0.0065811,              0.0065811,              0.0065811
                      3,                 1.6346,                  1.539,                 1.9133,                0.74329,                0.71525,                 0.7725,                0.47692,                 1.4193,                 1.2279,                 1.7037,              0.0097827,              0.0097827,              0.0097827
                      4,                 1.3083,                 1.1817,                 1.5512,                0.81736,                0.82488,                0.87526,                0.60285,                 1.1314,                0.97025,                 1.3975,               0.009703,               0.009703,               0.009703
                      5,                 1.1319,                 1.0135,                 1.3731,                0.84686,                0.85769,                0.90374,                0.65368,                 1.0005,                0.80429,                 1.2764,               0.009703,               0.009703,               0.009703
                      6,                 1.0303,                0.91372,                 1.2811,                0.87354,                0.87799,                0.92177,                0.69129,                0.92291,                0.74066,                 1.1995,               0.009604,               0.009604,               0.009604
                      7,                0.96725,                0.84944,                 1.2232,                0.88964,                0.88514,                0.93116,                0.71175,                0.87508,                0.68637,                 1.1599,               0.009505,               0.009505,               0.009505
                      8,                0.92113,                0.80221,                 1.1847,                 0.8874,                0.89355,                0.93531,                 0.7286,                0.82427,                 0.6522,                 1.1211,               0.009406,               0.009406,               0.009406
                      9,                0.88772,                0.76671,                 1.1571,                0.89176,                0.90011,                0.94116,                0.73709,                0.81575,                0.62861,                 1.1132,               0.009307,               0.009307,               0.009307
                     10,                0.85701,                0.73578,                 1.1345,                0.89947,                0.90806,                0.94349,                0.75257,                0.77451,                 0.6055,                 1.0837,               0.009208,               0.009208,               0.009208
                     11,                 0.8343,                0.71048,                 1.1173,                0.91506,                0.90747,                0.94882,                0.76769,                0.74263,                0.59924,                 1.0634,               0.009109,               0.009109,               0.009109
